issuer,PD,region,sector
ADBE,0.000544,NA,Technology
IBM,0.000544,NA,Technology
AMD,0.001997,NA,Technology
ADI,0.001997,NA,Technology
ADSK,0.001997,NA,Technology
CTXS,0.001997,NA,Technology
GLW,0.001997,NA,Technology
FISV,0.001997,NA,Technology
FLIR,0.001997,NA,Technology
HPQ,0.001997,NA,Technology
INTC,0.000544,NA,Technology
INTU,0.000544,NA,Technology
LRCX,0.000544,NA,Technology
MSI,0.001997,NA,Technology
NTAP,0.001997,NA,Technology
NLOK,0.008538,NA,Technology
NVDA,0.000544,NA,Technology
ORCL,0.000544,NA,Technology
PTC,0.001997,NA,Technology
QCOM,0.000544,NA,Technology
CRM,0.000544,NA,Technology
NOW,0.001997,NA,Technology
SWKS,0.001997,NA,Technology
TXN,0.000544,NA,Technology
TRMB,0.001997,NA,Technology
VRSN,0.001997,NA,Technology
WDC,0.008538,NA,Technology
ZBRA,0.008538,NA,Technology
AVGO,0.001997,NA,Technology
JNPR,0.001997,NA,Technology
